,Amerikanoestudios,Republic of Costa Rica,,,,,Puntarenas,,http://www.amerikanoestudios.org,contact@amerikanoestudios.org,0050626350223,,,,2011,,,,,,Yes,,,,,,,,,,
,Cloud Forest School,Republic of Costa Rica,Yes,El Centro de Educación Creativa,,Monteverde,Puntarenas,60109,http://cloudforestschool.org,opportunities@cloudforestschool.org,0050626455161,https://www.facebook.com/Cloud-Forest-School-Centro-de-Educaci%C3%B3n-Creativa-135466044381,,,,,,,,,Yes,,,,,,,,,,
,"Kalapa, Comunidad de Aprendizaje",Republic of Colombia,,,,,Sopó,,http://www.kalapa.com.co,veropuech@gmail.com,00573102660074,https://www.facebook.com/groups/792602420802735,,,,,,,,,Yes,,,,,,,,,,
,EnFamilia - Red Colombiana de Educación en Familia,Republic of Colombia,,,,,,,,nosotros@enfamilia.co,,,,,,,,,,,Yes,,,,,,,,,,
,ZŠ a MŠ Na Beránku,Czech Republic,Yes,3373/51,Pertoldova,,Prague,143 00,http://www.naberanku.cz,naberanku@naberanku.cz,00420244402412,https://www.facebook.com/Z%C5%A0-a-M%C5%A0-Na-Ber%C3%A1nku-v-Praze-12-1453852854877848,https://twitter.com/ZSNaBeranku,,,,,,,,Yes,,,,,,,,,,
,&Learning,Kingdom of Denmark,,12,Fælledvej,,Copenhagen,2200,http://andlearning.com,nicolai@andlearning.com ,004540898902,,,,,,,,,,Yes,,,,,,,,,,
,Academia Cotopaxi,Republic of Ecuador,Yes,Las Bromelias,De las Higuerillas y Alondras,,San Francisco de Quito,,http://www.cotopaxi.k12.ec,admissions@cotopaxi.k12.ec,0059322467411,https://www.facebook.com/Cotopaxi.k12,https://twitter.com/acotopaxi,,,,,,,,Yes,,,,,,,,,,
,"Fundación “Amigos de la Vida”, AMI",Republic of Ecuador,Yes,1 km,Via A Imantag,,Cotacachi,,http://fundacionami.org.ec,ami@fundacionami.org.ec,00593998414756,,,,,,,,,,Yes,,,,,,,,,,
,Elm International School,Arab Republic of Egypt,Yes,14,Mahmoud Abo El Ela street,Kafr Abdu,Alexandria,,http://elminternationalschool.com,info@elm-school.com,00201020001560,https://www.facebook.com/Elmschool,https://twitter.com/Elmschool,,,,,,,,Yes,,,,,,,,,,
,Ecole Dynamique,French Republic,Yes,2,Rue du Dessous des Berges,,Paris,75013,http://www.ecole-dynamique.org,info@ecole-dynamique.org,0033783842797,https://www.facebook.com/ecoledynamique,https://twitter.com/EcoleDynamique,,,,,,,,Yes,,,,,,,,,,
,Με Ενα Καλειδοσκοπιο,Hellenic Republic,Yes,13,Mesologgiou,,Nafplio,21100,http://www.meenakaleidoskopio.com,info@meenakaleidoskopio.com,00302752021355,https://www.facebook.com/%CE%9C%CE%B5-%CE%95%CE%BD%CE%B1-%CE%9A%CE%B1%CE%BB%CE%B5%CE%B9%CE%B4%CE%BF%CF%83%CE%BA%CE%BF%CF%80%CE%B9%CE%BF-536791036402607,,,,,,,,,Yes,,,,,,,,,,
,1o Νηπιαγωγείο Γαργαλιάνων,Hellenic Republic,Yes,2E,Grigoriou,,Gargalianoi,24400,http://blogs.sch.gr/1nipgarg,mail@1nip-gargal.mes.sch.gr,00302763023182,https://www.facebook.com/1%CE%BF-%CE%9D%CE%B7%CF%80%CE%B9%CE%B1%CE%B3%CF%89%CE%B3%CE%B5%CE%B9%CE%BF-%CE%93%CE%B1%CF%81%CE%B3%CE%B1%CE%BB%CE%B9%CE%B1%CE%BD%CF%89%CE%BD-298443343533260,,,,,,,,,Yes,,,,,,,,,,
,Elementary School of Fourfouras,Hellenic Republic,Yes,Elementary School of Fourfouras,,,"Fourfouras, Crete",74061,https://fourfourasweb.wordpress.com,"dimfourf@gmail.com",00302833041268,https://www.facebook.com/%CE%A6%CE%BF%CF%85%CF%81%CF%86%CE%BF%CF%85%CF%81%CE%AC%CF%82tv-222493577814046,,,,,,,,,Yes,,,,,,,,,,
,Colegio Naleb,Republic of Guatemala,Yes,,,,,,https://colegionaleb.wordpress.com,,,,,,,,,,,,,,,,,,,,,,
,Cofradía’s Bilingual School,Republic of Honduras,Yes,,,,Cofradía,,http://cofradiaschool.com,volunteer@cofradiaschool.com,0050425092666,https://www.facebook.com/Cofradias-Bilingual-School-90229785978,,,,,,,,,Yes,,,,,,,,,,
,Kavalkád - Egri Demokratikus Tanulóközösség,Hungary,No,,,,Eger,3300,http://kavalkadeger.blogspot.hu,egrikavalkad@gmail.com,,https://www.facebook.com/KavalkadEger,,,,,,,,,Yes,,,,,,,,,,
,ABC Montessori,Republic of India,Yes,SCO 19,Madhya Marg,Sector 26,Chandigarh,160009,http://www.abcmontessori.net,,00911724353315,,,,,,,,,,Yes,,,,,,,,,,
,Butterflies India NGO,Republic of India,Yes,U-4,Green Park Extension,New Delhi,Delhi,110016,http://www.butterflieschildrights.org,butterflies@vsnl.com,00911126163935,https://www.facebook.com/Butterfliesindia,https://twitter.com/butterflies_in,,,,,,,,Yes,,,,,,,,,,
,GramMangal,Republic of India,,,,Kothrud,Pune,411038,http://grammangal.org,info@grammangal.org,00912025386687,https://www.facebook.com/grammangal,,,,,,,,,Yes,,,,,,,,,,
,Isha Home School,Republic of India,Yes,Isha Home School,Velliangiri Foothills,,Coimbatore,641114,http://ishahomeschool.org,office@ishahomeschool.org,00914222515444,https://www.facebook.com/ishahomeschool,,,,,,,,,Yes,,,,,,,,,,
,Kangaroo Kids Education Ltd.,Republic of India,Yes,231,Swami Vivekanand Road,,Mumbai,400050,http://www.kkel.com,franchisee@kkel.com,00912242013000,https://www.facebook.com/KangarooKidsPreschool,,,,,,,,,Yes,,,,,,,,,,
,Primrose School,Republic of India,Yes,63,Gundu Salai Road,Oulgaret,Pondicherry,605010,http://www.primroseschool.org,info@primroseschool.org,00914132290106,,,,,,,,,,Yes,,,,,,,,,,
,Minoh Children’s Forest School,Japan,Yes,6-15-31,Onohara-nishi,,"Minoh, Osaka Prefecture",532-0032,http://kodomono-mori.com,info@kodomono-mori.com,0081727357676,https://www.facebook.com/kodomonomorigakuen,https://twitter.com/kodomomori,,,,,,,,Yes,,,,,,,,,,
,Hae Mill School,Republic of Korea,Yes,730-7,Myeongdong-ri,Nam-myeon,"Hongcheon, Gangwon Province",,http://www.haemillschool.com,info@haemill.sc.kr,00827041848761,https://www.facebook.com/haemill,,,,,,,,,Yes,,,,,,,,,,
,Humanity Explorational High School,Republic of China,,5,"Lane 75, Jixiang Road",,Toucheng Township ,,http://en.hndehs.org,ray@hndehs.org,0088639776056,https://www.facebook.com/%E4%BA%BA%E6%96%87%E7%84%A1%E5%AD%B8%E7%B1%8D%E8%A1%8C%E5%8B%95%E9%AB%98%E4%B8%AD-Humanities-Explorational-High-School-197428987035257,,,,,,,,,Yes,,,,,,,,,,
,MindLife Success,Republic of Singapore,,,,,,,http://mindlifesuccess.com,ask@mindlifesuccess.com,,https://www.facebook.com/mindlifesuccess,,,,,,,,,Yes,,,,,,,,,,
,Cuixmala School,,Yes,,,San Patricio - Melaque,La Huerta,,http://cuixmalaschool.com,information@cuixmalaschool.com,,https://www.facebook.com/groups/351637788217984,,,,,,,,,Yes,,,,,,,,,,
,ALAS - Aprendizaje en Libertad,United Mexican States,Yes,2904,Domingo Sarmiento,,Guadalajara,44670,http://comunidadalas.wix.com/comunidadalas,comunidad.alas@gmail.com,,https://www.facebook.com/ALAScomunidad,,,,,,,,,Yes,,,,,,,,,,
,Tulum International School,United Mexican States,Yes,2,Avenida Cobá Lote,,"Tulum, Quintana Roo",77780,http://www.tuluminternationalschool.org,contact@tuluminternationalschool.org,,https://www.facebook.com/TulumInternationalSchool,,,,,,,,,Yes,,,,,,,,,,
,Hindu Vidyapeeth UK,United Kingdom of Great Britain and Northern Ireland,,71,Eastwood Road,,"Bramley, Surrey",GU5 0DX,http://www.hvpuk.org.uk,hvpuk.org.uk@gmail.com,,https://www.facebook.com/home.php?sk=group_23184340336,,,,,,,,,Yes,,,,,,,,,,
,Alternative Learning Resource School-Philippines,Republic of the Philippines,Yes,26B,Agno Street cor. Cordillera Street,Barangay Dona Josefa Marcos,Quezon City,1113,http://www.alres-phils.com,alres.admin@gmail.com,006327121189,https://www.facebook.com/ALRES-259824543529,,,,,,,,,Yes,,,,,,,,,,
,ExAlt - Centro de Aprendizaje Ágil,Puerto Rico,Yes,51A,Calle Mariana Bracetti,,San Juan,00925,http://www.exaltpr.org,info@exaltpr.org,0017876323462,https://www.facebook.com/ExAltALC,,,,,,,,,Yes,,,,,,,,,,
,Leonardo Gifted  School,Romania,,22,Strada Berzei,Sector 1,Bucharest,10257,http://leonardoschool.ro,contact@leonardoschool.ro,0040729029484,https://www.facebook.com/LeonardoGiftedSchool,,,,,,,,,Yes,,,,,,,,,,
,Montessori Canela,Kingdom of Spain,Yes,138,Avinguda Comte Ramón Berenguer,,Santa Coloma de Cervelló,,http://montessoricaela.es,canela@montessoricanela.es,0034900802285,https://www.facebook.com/marco.bet.spain.montessori,https://twitter.com/spainmontessori,,,,,,,,Yes,,,,,,,,,,
,Jangu e.V.,Republic of Uganda,Yes,68,Ankogelweg,,Berlin,,http://www.jangu.org,info@jangu.org,0049307417752,https://www.facebook.com/JanguEv,https://twitter.com/jangu_ev,,,,,,,,Yes,,,,,,,,,,
,Holistic Education School,Republic of China,,141-3,Neiwan,,"Zhuolan Township, Taiwan",369,http://holistic.so-buy.com,holistic@ms65.hinet.net,00886425896909,,,,,,,,,Yes,,,,,,,,,,,
,Başka Bir Okul Mümkün Derneği,Republic of Turkey,Yes,Pembe Rüya Apt. No:15 D:4,İlhan Sokak,Beşiktaş,Istanbul,,http://www.baskabirokulmumkun.net,iletisim@baskabirokulmumkun.net,00905333834316,https://www.facebook.com/baskabirokulmumkundernegi,https://twitter.com/BBOMDernegi,,,,,,,Yes,,,,,,,,,,,
,Nava Prabha Alternative School,Federal Democratic Republic of Nepal,,,,,Bhaktapur,,http://beyondnepal.org,beyondnepal@gmail.com,0097716620622,https://www.facebook.com/BEYOND.Nepal2009,,,,,,,,,,,,,,,,,,,
,"
The African Union International School",Republic of South Africa,,53,West Road,Midrand,Johannesburg,1687,http://www.auis.co.za,au.international53@gmail.com,0027110237300,https://www.facebook.com/AUIS-149421001796962,,,,,,,,,,,,,,,,,,,
,Ridgeway College,Republic of South Africa,Yes,,Leeu Street,,Louis Trichardt,0920,http://www.ridgewaycollege.co.za,principal@ridgewaycollege.co.za,0027151610210,https://www.facebook.com/RidgewayCollege,https://twitter.com/ridgewaycollege,,,,,,,,,,,,,,,,,,
,African Virtual University,Republic of Kenya,,Cape Office Park,Ring Road,Kilimani,Nairobi,,http://www.avu.org,contact@avu.org,00254202528333,https://www.facebook.com/AfricanVirtualUniversity,,,,,,,,,,,,,,,,,,,
NGO,The Point,United States of America,Yes,940,Garrison Avenue,The Bronx,New York City,10474,http://thepoint.org,,0017185424139,https://www.facebook.com/pages/The-Point-CDC/108881392861,https://twitter.com/thepointcdc,,,,,,,,,,,,,,,,,,
,The Seedling Experimental School,Republic of China,Yes,,The Doll Valley,Wulai District,New Taipei City,,http://www.seedling.tw,seedling@mail2000.com.tw,00886226616648,,,,,,,,,,,,Yes,,,,,,,,
,Esiteti Primary School,Republic of Kenya,,,,,Loitokitok,00209,http://www.askenya.org,info@askenya.org,,https://www.facebook.com/askenya,https://twitter.com/ASKenya,,,,,,,,,,,,,,,,,,
NGO,Children for Change Cambodia,Kingdom of Cambodia,Yes,,,Khan Sensok,Phnom Penh,12101,http://www.cccambodia.org,info@cccambodia.org,,https://www.facebook.com/Children-for-Change-Cambodia-246053798757501,https://twitter.com/CCCPhnomPenh,,,,,,,,,,,,,,,,,,
,Northbridge International School Cambodia,Kingdom of Cambodia,Yes,,Street 2004,,Phnom Penh,,http://www.nordangliaeducation.com/our-schools/cambodia,info@nisc.edu.kh,,https://www.facebook.com/officialNISC,,,,,,,,,,,,,,,,,,,
,Cairo Institute of Liberal Arts and Science,Arab Republic of Egypt,Yes,CILAS,Al Fahamin,El-Darb El-Ahmar,Cairo,,http://www.ci-las.org,admissions@ci-las.org,,https://www.facebook.com/cilasian,https://twitter.com/CILASian,,,,,,,,,,,,,,,,,,
,EducateMe,United States of America,,1613,E Street Southeast,,"Washington, DC",20003,http://www.educateme.org,info@educateme.org,,,,,,,,,,,,,,,,,,,,,
,Educate-Me Egypt,Arab Republic of Egypt,Yes,385,Ramses Street,Abbasseya,Cairo,,http://educateme-egypt.org,"info@educateme-egypt.org",0020224677032,https://www.facebook.com/EducateMeEgypt,https://twitter.com/EducateMeEgypt,,,,,,,,,,,,,,,,,,
,Tahrir Academy,Arab Republic of Egypt,No,,Street 151,Al Maadi,Cairo,,http://tahriracademy.org,media@tahriracademy.org,,https://www.facebook.com/TahrirAcademy,https://twitter.com/tahriracademy,,,,,,,,,,,,,,,,,,
,Alwan wa Awtar,Arab Republic of Egypt,Yes,"Masaken El-Mahmodia, Block 9, Entrance 1",,El Hadaba El Wosta,Mokattam,,http://www.alwan-awtar.org,info@alwan-awtar.org,00201200388396,https://www.facebook.com/Alwan.Awtar,https://twitter.com/AlwanWaAwtar,,,,,,,,,,,,,,,,,,
,KidZone Academy,Arab Republic of Egypt,Yes,190,Sameh Gado Street,,Giza,,http://www.kidzoneacademy.com,info@kidzoneacademy.com,00201020769222,https://www.facebook.com/KidZone.Academy,https://twitter.com/KidzoneAcademy,,,,,,,,,,,,,,,,,,
,ابن خلدون للتعليم المنزلي (Ibn Khaldun Homeschooling),Republic of Turkey,Yes,,,,Istanbul,,http://ibn-khaldon.com,support@ibn-khaldon.com,,https://www.facebook.com/ibnkhaldon.homeschooling,https://twitter.com/ibnkhaldon_hs,,,,,,,,,,,,,,,,,,
,iKiD Academy,Arab Republic of Egypt,,,,The 5th District,New Cairo,,http://ikidacademy.weebly.com,ikid.academy@gmail.com,00201122829666,https://www.facebook.com/IKidAcademy-121751774689852,https://twitter.com/ikid_academy,,,,,,,,,,,,,,,,,,
,Roedean School (SA),Republic of South Africa,Yes,33,Princess of Wales Terrace,Parktown,Johannesburg,2193,http://www.roedeanschool.co.za,ddekoning@roedeanschool.co.za,0027116473208,https://www.facebook.com/RoedeanSchoolSA,https://twitter.com/RoedeanSchoolSA,,,,,,,,,,,,,,,,,,
,One Planet International School,Federal Democratic Republic of Ethiopia,,106,Kebele: 08/09,Bole Medhanealem,"Addis Ababa
",1250,http://www.oneplanetschool.com,info@oneplanetschool.com,00251116181010,https://www.facebook.com/One-Planet-International-School-Ethiopia-97608204617,,,,,,,,,,,,,,,,,,,
,Demokratische Werkcollege,Republic of Austria,Yes,59,Währinger Straße,,Vienna,1090,http://college.schuelerinnenschule.at,schuelerinnenschule@chello.at,,,,,,,,,,,,,,,,,,,,,
,SchülerInnenschule,,,,,,,,http://www.schuelerinnenschule.at/unsere-schule,,,,,,,,,,,,,,,,,,,,,,
,Madagascar School Project,Republic of Madagascar,Yes,,,,Antananarivo,,http://www.madagascarschoolproject.com,kathylucking@yahoo.ca,,https://www.facebook.com/Madagascar-School-Project-488515571199723,,,,,,,,,,,,,,,,,,,
,​Flexible Learning Centre,United Kingdom of Great Britain and Northern Ireland,,204,Slade Road,Erdington,Birmingham,B23 7RJ,https://www.flexiblelearning.org.uk,info@flexiblelearning.org.uk,011441212403718,https://www.facebook.com/flexible.learning.1,https://twitter.com/FlexAP,,,,,,,,,,,,,,,,,,
,International Community School of Addis Ababa,Federal Democratic Republic of Ethiopia,Yes,,Mauritania Street,,Addis Ababa,,http://www.icsaddis.edu.et,info@icsaddis.edu.et,002510113711544,https://www.facebook.com/ICSAddisAbaba,https://twitter.com/ICSAddis,,,,,,,,,,,,,,,,,,
,Canadian Montessori Academy Mozambique,Republic of Mozambique,Yes,,,,,,,cma_moz@panintra.com,00258843057040,https://www.facebook.com/Canadian-Montessori-Academy-Mozambique-504919199566214,,,,,,,,,,,,,,,,,,,
,American International School of Mozambique,Republic of Mozambique,Yes,266,Rua de Rio Raraga,,Maputo,,http://www.aism.co.mz,aisminfo@aism-moz.com,0025821491994,https://www.facebook.com/AISMMAPUTO,,,,,,,,,,,,,,,,,,,
,"Aga Khan Academy, Maputo",Republic of Mozambique,Yes,1187,Avenida Julius Nyerere,,Maputo,,http://agakhanacademies.org/maputo,info.maputo@agakhanacademies.org,0025821720963,https://www.facebook.com/AKAMaputo,,,,,,,,,,,,,,,,,,,
,Stella Maris International School,Republic of Mozambique,,36,Avenida Eduardo Mondlane,,Nampula,,http://smis.edu.mz/nampula,,0025826218727,,,,,,,,,,,,,,,,,,,,
NGO,Remember Niger Coalition,Republic of Niger,Yes,6737,Riga Avenue Northeast,,"Rockford, MI",,http://www.rememberniger.org,kvanderkamp@rememberniger.org,,,,,,,,,,,,,,,,,,,,,
,Niger - Ecole de l'Acacia,Republic of Niger,Yes,,,,,,http://www.ecole-acacia.org,,,https://www.facebook.com/ecoledelacacia,,,,,,,,,,,,,,,,,,,
,International School of Phnom Penh,Kingdom of Cambodia,Yes,,Hun Neang Boulevard,,Phnom Penh,,http://www.ispp.edu.kh,ispp@ispp.edu.kh,0085523425088,https://www.facebook.com/internationalschoolofphnompenhcambodia,https://twitter.com/isppcambodia,,,,,,,,,,,,,,,,,,
,Royal American International School,Kingdom of Cambodia,,115,Vihear Chen Village,Sangkat Svay Dangkum,Siem Reap,,http://www.rais.edu.kh,info@rais.edu.kh,00855636666885,https://www.facebook.com/rais.edu.kh,,,,,,,,,,,,,,,,,,,
,Elsen Academy,Republic of South Africa,Yes,21,Bird Street,,Port Elizabeth,6001,http://www.elsen.co.za,info@elsen.co.za,0027415823289,https://www.facebook.com/Elsen.Academy,,,,,,,,,,,,,,,,,,,
,Chadwick International,Republic of Korea,Yes,45,Art center-daero 97 beon-gil,Yeonsu District,Incheon Metropolitan City,22002,http://www.chadwickinternational.org,songdo-generalaffairs@chadwickschool.org,0082322505000,https://www.facebook.com/chadwickinternational,https://twitter.com/Intl_Chadwick,,,,,,,,,,,,,,,,,,
,Discovery School  Burundi,Republic of Burundi,Yes,7,Bukiriro Avenue,Commune Gihosha,Bujumbura,,http://www.discoveryschoolburundi.org,dsburundi@gmail.com,0025722232059,https://www.facebook.com/Discovery-School-Burundi-285766348117336,,,,,,,,,,,,,,,,,,,
